"Analysis"	"Identifier_1"	"Treat"	"Code"	"Time"	"Peak"	"Rt"	"Ampl__44"	"Ampl__45"	"Ampl__46"	"BGD_44"	"BGD_45"	"BGD_46"	"AT%13C/12C"	"relative_concentration"
"7"	36636	"BV20_09_13"	"AX"	"AX1"	2	"C14:0"	646	199	1120	275	16.1	15.7	28.2	5.023	194.6841411
"8"	36636	"BV20_09_13"	"AX"	"AX1"	2	"C16:0"	890	1171	10332	1629	12.6	12.3	24.2	7.752	1266.416219
"9"	36636	"BV20_09_13"	"AX"	"AX1"	2	"C16:1w7"	926	869	9074	1214	22.6	87.3	38.2	9.029	939.7979309
"10"	36636	"BV20_09_13"	"AX"	"AX1"	2	"C19:0"	1443	1535	1754	2102	14.7	20.7	26.9	1.087	1543.864532
"11"	36636	"BV20_09_13"	"AX"	"AX1"	2	"C18:3w6_3"	1483	58	150	79	14.7	20.7	26.9	1.965	44.74945646
"12"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C14:0"	644	623	5373	862	19.8	21.9	34.4	7.573	659.1962853
"13"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C16:0"	890	3426	40983	4804	16.2	22.5	30.6	10.938	3833.739535
"14"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C16:1w7"	926	2842	39954	3993	61.7	544.2	94.6	12.431	3186.104907
"17"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C16:3w4"	1071	117	190	161	19.3	78.6	35	1.397	99.19237838
"18"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C18:0"	1243	119	263	164	15.2	41	29.2	2.224	106.4248048
"19"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C19:0"	1443	1898	2255	2602	21.5	47	37.6	1.165	1906.280901
"20"	36637	"BV20_09_25"	"AX"	"AX1"	3	"C18:3w6_3"	1483	131	855	182	21.5	47	37.6	4.957	118.0136336
"23"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C14:0"	645	477	4066	660	19.3	25.2	34.5	7.518	499.9863784
"24"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C16:0"	890	2133	26460	2993	16.6	24.2	31.7	10.997	2389.650793
"25"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C16:1w7"	926	1872	28455	2636	33.9	211.8	56.1	13.1	2128.279447
"27"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C16:3w4"	1072	103	176	141	17.6	58.6	33.4	1.541	86.89712312
"28"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C18:0"	1244	73	173	100	14.7	34.2	29.1	2.395	59.90091291
"29"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C19:0"	1443	1849	2151	2535	18.7	39.9	34.5	1.116	1858.920009
"30"	36638	"BV20_09_37"	"AX"	"AX1"	4	"C18:3w6_3"	1483	85	506	117	18.7	39.9	34.5	4.137	71.20874775
"34"	36639	"BV20_09_14"	"AX"	"AX2"	2	"C16:0"	890	862	10643	1210	14.3	13.1	29.3	10.358	957.5446456
"35"	36639	"BV20_09_14"	"AX"	"AX2"	2	"C16:1w7"	927	536	7883	755	24	115.9	42.9	12.27	591.8094384
"36"	36639	"BV20_09_14"	"AX"	"AX2"	2	"C19:0"	1443	1684	1937	2311	16	23.4	31.1	1.095	1693.982547
"37"	36639	"BV20_09_14"	"AX"	"AX2"	2	"C18:3w6_3"	1483	58	151	80	16	23.4	31.1	1.951	43.42284685
"38"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C14:0"	644	717	5992	993	24.7	32	43	7.375	754.7528529
"40"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C16:0"	890	3401	35635	4764	20.3	30.6	38.3	9.574	3750.935291
"41"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C16:1w7"	926	2979	37545	4191	60.8	420.8	95.1	11.256	3301.742
"44"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C16:3w4"	1071	125	196	172	22.2	78.5	41	1.367	104.3683934
"45"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C18:0"	1243	126	257	174	17.5	43.5	34.2	2.054	111.0548198
"46"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C19:0"	1443	2033	2410	2796	23.3	48.7	41.8	1.141	2041.583871
"47"	36641	"BV20_09_38"	"AX"	"AX2"	4	"C18:3w6_3"	1482	126	671	175	23.3	48.7	41.8	3.953	109.323
"49"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C14:0"	645	458	2666	633	18.8	18	35.2	5.198	467.4751952
"50"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C16:0"	889	2802	21066	3904	16.4	17.7	33.2	6.958	3007.707024
"51"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C16:1w7"	925	2284	19362	3186	38.4	165.6	64	7.692	2446.939375
"53"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C16:3w4"	1071	53	79	72	18.2	42.6	35.8	1.316	35.27270871
"54"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C18:0"	1243	51	99	70	15.4	26.3	31.5	1.911	36.44261562
"55"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C19:0"	1443	2527	2899	3471	20.7	33.2	38.5	1.095	2545.265808
"56"	36642	"BV20_09_15"	"AX"	"AX3"	2	"C18:3w6_3"	1482	123	294	169	20.7	33.2	38.5	1.782	105.2998919
"57"	36644	"BV20_09_39"	"AX"	"AX3"	4	"C14:0"	644	533	5803	744	20.9	31.2	38.5	9.392	571.9366186
"59"	36644	"BV20_09_39"	"AX"	"AX3"	4	"C16:0"	889	2486	36972	3517	18.3	30.8	36.2	13.006	2847.564853
