,KEGG,Step,Cycle
DeVisscher1,K11931,Biofilm formation,Biofilm
DeVisscher2,K11935,Biofilm formation,Biofilm
DeVisscher3,K11937,Biofilm formation,Biofilm
DeVisscher4,K11936,Biofilm formation,Biofilm
DeVisscher5,K13654,Biofilm formation,Biofilm
DeVisscher6,K12148,Biofilm formation,Biofilm
DeVisscher7,K13650,Biofilm formation,Biofilm
1,K01012,Biotin biosynthesis,Biotin
3,K00851,Carbohydrate metabolism,Carbon
4,K25031,Carbohydrate metabolism,Carbon
27,K07335,General nucleoside transporter,Carbon
2,K00104,Glyoxylate metabolism,Carbon
37,K09969,L-amino acid transport,Carbon
38,K09970,L-amino acid transport,Carbon
39,K09971,L-amino acid transport,Carbon
40,K09972,L-amino acid transport,Carbon
31,K10112,Multiple sugar transport,Carbon
32,K07323,Phospholipid transport,Carbon
33,K02067,Phospholipid transport,Carbon
34,K02066,Phospholipid transport,Carbon
35,K07122,Phospholipid transport,Carbon
36,K02065,Phospholipid transport,Carbon
28,K02002,Proline transport,Carbon
29,K02001,Proline transport,Carbon
30,K02000,Proline transport,Carbon
24,K16092,Cobalamin transport,Cobalamin
25,K00548,Cobalamin utilization,Cobalamin
26,K03500,Cobalamin utilization,Cobalamin
18,K00798,Final synthesis and repair,Cobalamin
19,K19221,Final synthesis and repair,Cobalamin
20,K02232,Final synthesis and repair,Cobalamin
21,K02225,Final synthesis and repair,Cobalamin
22,K02227,Final synthesis and repair,Cobalamin
23,K02233,Final synthesis and repair,Cobalamin
Debeljak3,K07224,Iron (II) transport,Iron
Debeljak4,K04759,Iron (II) transport,Iron
Debeljak5,K04758,Iron (II) transport,Iron
Debeljak6,K07243,Iron (II) transport,Iron
Debeljak7,K16301,Iron (II) transport,Iron
10,K11604,Iron (II) transport,Iron
11,K11605,Iron (II) transport,Iron
12,K11606,Iron (II) transport,Iron
13,K11607,Iron (II) transport,Iron
7,K02012,Iron (III) transport,Iron
8,K02011,Iron (III) transport,Iron
9,K02010,Iron (III) transport,Iron
Debeljak1,K02013,Iron (III) transport,Iron
Debeljak2,K11710,Iron (III) transport,Iron
Debeljak12,K02074,Manganese-zinc-iron transport,Iron
Debeljak13,K02075,Manganese-zinc-iron transport,Iron
Debeljak14,K02077,Manganese-zinc-iron transport,Iron
14,K11707,Manganese-zinc-iron transport,Iron
15,K11708,Manganese-zinc-iron transport,Iron
16,K11709,Manganese-zinc-iron transport,Iron
17,K117010,Manganese-zinc-iron transport,Iron
5,K03594,Oxidoreductase,Iron
6,K19054,Oxidoreductase,Iron
Debeljak8,K02003,Siderophore uptake,Iron
Debeljak9,K02014,Siderophore uptake,Iron
Debeljak10,K02015,Siderophore uptake,Iron
Debeljak11,K02016,Siderophore uptake,Iron
Debeljak15,K03559,Siderophore uptake,Iron
