# PLAZA instance : diatoms_01
# File generation timestamp : Wed Apr 22 15:36:27 CEST 2020
#"transcript_id";"gene_id"
"Sro1000_g229710.1";"Sro1000_g229710"
"Sro1000_g229720.1";"Sro1000_g229720"
"Sro1000_g229730.1";"Sro1000_g229730"
"Sro1000_g229740.1";"Sro1000_g229740"
"Sro1001_g229750.1";"Sro1001_g229750"
"Sro1001_g229760.1";"Sro1001_g229760"
"Sro1001_g229770.1";"Sro1001_g229770"
"Sro1001_g229780.1";"Sro1001_g229780"
"Sro1001_g229790.1";"Sro1001_g229790"
"Sro1001_g229800.1";"Sro1001_g229800"
"Sro1002_g229810.1";"Sro1002_g229810"
"Sro1002_g229820.1";"Sro1002_g229820"
"Sro1002_g229830.1";"Sro1002_g229830"
"Sro1002_g229840.1";"Sro1002_g229840"
"Sro1002_g229850.1";"Sro1002_g229850"
"Sro1002_g229860.1";"Sro1002_g229860"
"Sro1002_g229870.3";"Sro1002_g229870"
"Sro1002_g229880.1";"Sro1002_g229880"
"Sro1002_g229881.1";"Sro1002_g229881"
"Sro1002_g229890.1";"Sro1002_g229890"
"Sro1002_g229900.1";"Sro1002_g229900"
"Sro1002_g229910.1";"Sro1002_g229910"
"Sro1002_g229920.1";"Sro1002_g229920"
"Sro1002_g229930.1";"Sro1002_g229930"
"Sro1003_g229940.1";"Sro1003_g229940"
"Sro1003_g229950.1";"Sro1003_g229950"
"Sro1003_g229960.1";"Sro1003_g229960"
"Sro1003_g229970.1";"Sro1003_g229970"
"Sro1003_g229980.1";"Sro1003_g229980"
"Sro1003_g229990.1";"Sro1003_g229990"
"Sro1003_g230000.1";"Sro1003_g230000"
"Sro1003_g230010.1";"Sro1003_g230010"
"Sro1003_g230020.1";"Sro1003_g230020"
"Sro1003_g230030.1";"Sro1003_g230030"
"Sro1003_g230040.1";"Sro1003_g230040"
"Sro1003_g230050.1";"Sro1003_g230050"
"Sro1003_g230060.1";"Sro1003_g230060"
"Sro1003_g230070.1";"Sro1003_g230070"
"Sro1003_g230080.1";"Sro1003_g230080"
"Sro1004_g230090.1";"Sro1004_g230090"
"Sro1004_g230100.1";"Sro1004_g230100"
"Sro1004_g230110.1";"Sro1004_g230110"
"Sro1004_g230120.1";"Sro1004_g230120"
"Sro1004_g230130.1";"Sro1004_g230130"
"Sro1004_g230140.1";"Sro1004_g230140"
"Sro1004_g230150.2";"Sro1004_g230150"
"Sro1004_g230160.1";"Sro1004_g230160"
"Sro1004_g230170.1";"Sro1004_g230170"
"Sro1005_g230180.1";"Sro1005_g230180"
"Sro1005_g230190.1";"Sro1005_g230190"
"Sro1005_g230200.1";"Sro1005_g230200"
"Sro1005_g230210.1";"Sro1005_g230210"
"Sro1005_g230220.1";"Sro1005_g230220"
"Sro1005_g230230.1";"Sro1005_g230230"
"Sro1005_g230231.1";"Sro1005_g230231"
"Sro1005_g230240.1";"Sro1005_g230240"
"Sro1005_g230250.1";"Sro1005_g230250"
"Sro1005_g230260.1";"Sro1005_g230260"
"Sro1005_g230270.1";"Sro1005_g230270"
"Sro1005_g230280.1";"Sro1005_g230280"
"Sro1006_g230290.1";"Sro1006_g230290"
"Sro1006_g230300.1";"Sro1006_g230300"
"Sro1006_g230310.1";"Sro1006_g230310"
"Sro1006_g230320.1";"Sro1006_g230320"
"Sro1006_g230330.1";"Sro1006_g230330"
"Sro1006_g230340.1";"Sro1006_g230340"
"Sro1006_g230350.1";"Sro1006_g230350"
"Sro1007_g230360.1";"Sro1007_g230360"
"Sro1007_g230370.1";"Sro1007_g230370"
"Sro1007_g230380.1";"Sro1007_g230380"
"Sro1007_g230390.1";"Sro1007_g230390"
"Sro1007_g230400.1";"Sro1007_g230400"
"Sro1007_g230410.1";"Sro1007_g230410"
"Sro1007_g230420.1";"Sro1007_g230420"
"Sro1007_g230430.1";"Sro1007_g230430"
"Sro1007_g230440.1";"Sro1007_g230440"
"Sro1007_g230450.1";"Sro1007_g230450"
"Sro1007_g230460.1";"Sro1007_g230460"
"Sro1007_g230461.1";"Sro1007_g230461"
"Sro1007_g230470.1";"Sro1007_g230470"
"Sro1007_g230480.1";"Sro1007_g230480"
"Sro1007_g230490.1";"Sro1007_g230490"
"Sro1008_g230500.1";"Sro1008_g230500"
"Sro1008_g230510.1";"Sro1008_g230510"
"Sro1008_g230520.1";"Sro1008_g230520"
"Sro1008_g230530.1";"Sro1008_g230530"
"Sro1008_g230540.1";"Sro1008_g230540"
"Sro1008_g230550.1";"Sro1008_g230550"
"Sro1008_g230560.1";"Sro1008_g230560"
"Sro1008_g230570.1";"Sro1008_g230570"
"Sro1008_g230580.1";"Sro1008_g230580"
"Sro1008_g230590.1";"Sro1008_g230590"
"Sro1008_g230600.1";"Sro1008_g230600"
"Sro1008_g230610.1";"Sro1008_g230610"
"Sro1008_g230620.1";"Sro1008_g230620"
"Sro1008_g230630.1";"Sro1008_g230630"
"Sro1008_g230640.1";"Sro1008_g230640"
"Sro1009_g230650.1";"Sro1009_g230650"
"Sro1009_g230660.1";"Sro1009_g230660"
"Sro1009_g230670.1";"Sro1009_g230670"
"Sro1009_g230680.1";"Sro1009_g230680"
"Sro1009_g230690.1";"Sro1009_g230690"
"Sro1009_g230700.1";"Sro1009_g230700"
"Sro1009_g230710.1";"Sro1009_g230710"
"Sro1009_g230720.1";"Sro1009_g230720"
"Sro1009_g230730.1";"Sro1009_g230730"
"Sro1009_g230740.1";"Sro1009_g230740"
"Sro1009_g230750.1";"Sro1009_g230750"
"Sro1009_g230760.1";"Sro1009_g230760"
"Sro1009_g230770.1";"Sro1009_g230770"
"Sro100_g008401.1";"Sro100_g008401"
"Sro100_g051080.1";"Sro100_g051080"
"Sro100_g051090.1";"Sro100_g051090"
"Sro100_g051100.1";"Sro100_g051100"
"Sro100_g051110.1";"Sro100_g051110"
"Sro100_g051120.1";"Sro100_g051120"
"Sro100_g051130.2";"Sro100_g051130"
"Sro100_g051140.1";"Sro100_g051140"
"Sro100_g051150.1";"Sro100_g051150"
"Sro100_g051160.1";"Sro100_g051160"
"Sro100_g051170.1";"Sro100_g051170"
"Sro100_g051171.1";"Sro100_g051171"
"Sro100_g051180.1";"Sro100_g051180"
"Sro100_g051190.1";"Sro100_g051190"
"Sro100_g051200.1";"Sro100_g051200"
"Sro100_g051210.1";"Sro100_g051210"
"Sro100_g051220.1";"Sro100_g051220"
"Sro100_g051230.1";"Sro100_g051230"
"Sro100_g051240.1";"Sro100_g051240"
"Sro100_g051250.1";"Sro100_g051250"
"Sro100_g051260.1";"Sro100_g051260"
"Sro100_g051270.1";"Sro100_g051270"
"Sro100_g051280.1";"Sro100_g051280"
"Sro100_g051290.1";"Sro100_g051290"
"Sro100_g051300.1";"Sro100_g051300"
"Sro100_g051310.2";"Sro100_g051310"
"Sro100_g051320.1";"Sro100_g051320"
"Sro100_g051330.1";"Sro100_g051330"
"Sro100_g051340.1";"Sro100_g051340"
"Sro100_g051350.1";"Sro100_g051350"
"Sro100_g051360.1";"Sro100_g051360"
"Sro100_g051370.1";"Sro100_g051370"
"Sro100_g051380.1";"Sro100_g051380"
"Sro100_g051390.1";"Sro100_g051390"
"Sro100_g051400.1";"Sro100_g051400"
"Sro100_g051410.1";"Sro100_g051410"
"Sro100_g051420.1";"Sro100_g051420"
"Sro100_g051430.1";"Sro100_g051430"
"Sro100_r000860.1";"Sro100_r000860"
"Sro1010_g230780.1";"Sro1010_g230780"
"Sro1010_g230790.1";"Sro1010_g230790"
"Sro1010_g230800.1";"Sro1010_g230800"
"Sro1010_g230810.1";"Sro1010_g230810"
"Sro1010_g230820.1";"Sro1010_g230820"
"Sro1010_g230830.1";"Sro1010_g230830"
"Sro1010_g230840.1";"Sro1010_g230840"
"Sro1010_g230850.1";"Sro1010_g230850"
"Sro1010_g230860.1";"Sro1010_g230860"
"Sro1010_g230870.1";"Sro1010_g230870"
"Sro1010_g230880.1";"Sro1010_g230880"
"Sro1010_g230890.1";"Sro1010_g230890"
"Sro1010_g230900.1";"Sro1010_g230900"
"Sro1010_g230910.1";"Sro1010_g230910"
"Sro1010_g230920.1";"Sro1010_g230920"
"Sro1010_g230930.1";"Sro1010_g230930"
"Sro1010_g230940.1";"Sro1010_g230940"
"Sro1010_g230950.1";"Sro1010_g230950"
"Sro1011_g230960.1";"Sro1011_g230960"
"Sro1011_g230970.1";"Sro1011_g230970"
"Sro1011_g230980.1";"Sro1011_g230980"
"Sro1011_g230990.1";"Sro1011_g230990"
"Sro1011_g231000.1";"Sro1011_g231000"
"Sro1011_g231010.1";"Sro1011_g231010"
"Sro1011_g231020.1";"Sro1011_g231020"
"Sro1011_g231030.1";"Sro1011_g231030"
"Sro1011_g231040.1";"Sro1011_g231040"
"Sro1011_g231050.1";"Sro1011_g231050"
"Sro1011_g231060.1";"Sro1011_g231060"
"Sro1011_g231070.1";"Sro1011_g231070"
"Sro1011_g231080.1";"Sro1011_g231080"
"Sro1011_g231090.1";"Sro1011_g231090"
"Sro1011_g231100.1";"Sro1011_g231100"
"Sro1011_g231110.1";"Sro1011_g231110"
"Sro1011_g231120.1";"Sro1011_g231120"
"Sro1011_r003030.1";"Sro1011_r003030"
"Sro1012_g231130.1";"Sro1012_g231130"
"Sro1012_g231140.1";"Sro1012_g231140"
"Sro1012_g231150.1";"Sro1012_g231150"
"Sro1012_g231160.1";"Sro1012_g231160"
"Sro1012_g231170.1";"Sro1012_g231170"
"Sro1012_g231180.1";"Sro1012_g231180"
"Sro1012_g231190.1";"Sro1012_g231190"
"Sro1012_g231200.1";"Sro1012_g231200"
"Sro1012_g231210.1";"Sro1012_g231210"
"Sro1012_g231220.1";"Sro1012_g231220"
"Sro1012_g231230.1";"Sro1012_g231230"
"Sro1012_g231240.1";"Sro1012_g231240"
"Sro1012_g231250.1";"Sro1012_g231250"
"Sro1012_g231260.1";"Sro1012_g231260"
"Sro1012_g231270.1";"Sro1012_g231270"
"Sro1012_g231280.1";"Sro1012_g231280"
"Sro1013_g231290.1";"Sro1013_g231290"
"Sro1013_g231300.2";"Sro1013_g231300"
"Sro1013_g231310.1";"Sro1013_g231310"
"Sro1013_g231311.1";"Sro1013_g231311"
"Sro1013_g231320.1";"Sro1013_g231320"
"Sro1013_g231330.1";"Sro1013_g231330"
"Sro1013_g231340.1";"Sro1013_g231340"
"Sro1013_g231341.1";"Sro1013_g231341"
"Sro1013_g231350.1";"Sro1013_g231350"
"Sro1013_g231360.1";"Sro1013_g231360"
"Sro1014_g231370.1";"Sro1014_g231370"
"Sro1014_g231380.1";"Sro1014_g231380"
"Sro1014_g231390.1";"Sro1014_g231390"
"Sro1014_g231400.1";"Sro1014_g231400"
"Sro1014_g231410.1";"Sro1014_g231410"
"Sro1014_g231420.1";"Sro1014_g231420"
"Sro1014_g231430.1";"Sro1014_g231430"
"Sro1014_g231440.1";"Sro1014_g231440"
"Sro1014_g231450.1";"Sro1014_g231450"
"Sro1014_g231460.1";"Sro1014_g231460"
"Sro1015_g231470.1";"Sro1015_g231470"
"Sro1015_g231480.1";"Sro1015_g231480"
"Sro1015_g231490.1";"Sro1015_g231490"
"Sro1015_g231500.1";"Sro1015_g231500"
"Sro1015_g231510.1";"Sro1015_g231510"
"Sro1015_g231520.1";"Sro1015_g231520"
"Sro1015_g231521.1";"Sro1015_g231521"
"Sro1015_g231530.1";"Sro1015_g231530"
"Sro1015_g231531.1";"Sro1015_g231531"
"Sro1015_g231540.1";"Sro1015_g231540"
"Sro1015_g231550.1";"Sro1015_g231550"
