# NetGPI 1.1	Timestamp: 20230506111425
ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
megahit_1816_2594-3574	326	Not GPI-Anchored	-	0.991	*
megahit_209792_10061-10891	276	Not GPI-Anchored	-	0.995	*
megahit_198312_3-644	213	Not GPI-Anchored	-	0.995	*
megahit_195037_6456-7532	358	Not GPI-Anchored	-	0.984	*
megahit_190553_15138-18248	1036	Not GPI-Anchored	-	0.991	*
megahit_185732_27-1067	346	Not GPI-Anchored	-	0.988	*
megahit_175463_4648-5124	158	Not GPI-Anchored	-	0.993	*
megahit_175445_2016-2492	158	Not GPI-Anchored	-	0.993	*
megahit_175193_9112-9639	175	Not GPI-Anchored	-	0.996	*
megahit_166334_1-1113	370	Not GPI-Anchored	-	0.995	*
megahit_165831_45-6011	1988	Not GPI-Anchored	-	0.995	*
megahit_165818_6480-7280	266	Not GPI-Anchored	-	0.994	*
megahit_165815_231-1376	381	Not GPI-Anchored	-	0.986	*
megahit_165220_81-1109	342	Not GPI-Anchored	-	0.995	*
megahit_164273_1584-3692	702	Not GPI-Anchored	-	0.996	*
megahit_164270_1300-3408	702	Not GPI-Anchored	-	0.996	*
megahit_163247_856-1893	345	Not GPI-Anchored	-	0.918	*
megahit_162301_153-3746	1197	Not GPI-Anchored	-	0.993	*
megahit_150236_2652-3032	126	Not GPI-Anchored	-	0.905	*
megahit_150236_1712-2650	312	Not GPI-Anchored	-	0.995	*
megahit_144009_3-1022	340	Not GPI-Anchored	-	0.993	*
megahit_142084_1693-2346	217	Not GPI-Anchored	-	0.993	*
megahit_137049_49-1170	373	Not GPI-Anchored	-	0.988	*
megahit_134824_3-1604	533	Not GPI-Anchored	-	0.992	*
megahit_133319_5784-6803	339	Not GPI-Anchored	-	0.994	*
megahit_133258_175-1623	482	Not GPI-Anchored	-	0.994	*
megahit_130035_2912-3601	229	Not GPI-Anchored	-	0.993	*
megahit_129347_4316-6244	642	Not GPI-Anchored	-	0.993	*
megahit_129345_4316-6244	642	Not GPI-Anchored	-	0.993	*
megahit_209668_7711-8613	300	Not GPI-Anchored	-	0.966	*
megahit_209797_12692-13522	276	Not GPI-Anchored	-	0.995	*
megahit_10686_2523-2864	113	Not GPI-Anchored	-	0.994	*
megahit_210339_1416-1856	146	Not GPI-Anchored	-	0.988	*
megahit_1310123_328-1707	459	Not GPI-Anchored	-	0.980	*
megahit_1264592_1-3768	1256	Not GPI-Anchored	-	0.986	*
megahit_1184355_1-384	128	Not GPI-Anchored	-	0.988	*
megahit_1102801_1-939	312	Not GPI-Anchored	-	0.994	*
megahit_1023751_2-1039	345	Not GPI-Anchored	-	0.994	*
megahit_973159_2-2014	671	Not GPI-Anchored	-	0.994	*
megahit_513823_3-2138	712	Not GPI-Anchored	-	0.983	*
megahit_492837_3-1610	535	Not GPI-Anchored	-	0.993	*
megahit_454184_75-1931	618	Not GPI-Anchored	-	0.996	*
megahit_440359_76-1776	566	Not GPI-Anchored	-	0.991	*
