# SignalP-5.0	Organism: Gram-negative	Timestamp: 20230503170357
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
megahit_246141_2-487	OTHER	0.006886	0.001591	0.000648	0.990874	
megahit_246187_1-414	OTHER	0.005526	0.012071	0.008931	0.973472	
megahit_246195_104-340	OTHER	0.009708	0.013931	0.001890	0.974471	
megahit_246205_1-267	OTHER	0.007609	0.001885	0.002306	0.988201	
megahit_246205_378-665	OTHER	0.001027	0.000210	0.000941	0.997821	
megahit_246205_609-797	LIPO(Sec/SPII)	0.348887	0.006178	0.514491	0.130443	CS pos: 22-23. LGA-KL. Pr: 0.3445
megahit_246247_3-1190	SP(Sec/SPI)	0.948151	0.046155	0.001090	0.004603	CS pos: 44-45. AFA-QD. Pr: 0.9842
megahit_246248_3-2297	SP(Sec/SPI)	0.948151	0.046155	0.001090	0.004603	CS pos: 44-45. AFA-QD. Pr: 0.9842
megahit_246248_2344-4002	OTHER	0.012871	0.009632	0.001472	0.976025	
megahit_246248_4002-5291	OTHER	0.003914	0.006447	0.001489	0.988150	
megahit_246248_5310-5798	OTHER	0.012132	0.001596	0.005270	0.981002	
megahit_246287_1-726	OTHER	0.009737	0.001629	0.001169	0.987465	
megahit_246289_1-942	OTHER	0.002532	0.000722	0.000938	0.995807	
megahit_246289_1096-1713	OTHER	0.008336	0.003422	0.004288	0.983954	
megahit_246289_1724-2473	OTHER	0.003023	0.000642	0.000600	0.995735	
megahit_246317_1-1038	OTHER	0.001125	0.000126	0.001632	0.997117	
megahit_246317_1311-2450	OTHER	0.028975	0.005824	0.460633	0.504567	
megahit_246334_2961-3386	OTHER	0.004075	0.002533	0.000450	0.992942	
megahit_246348_103-495	OTHER	0.006749	0.005618	0.000345	0.987288	
megahit_246353_3-1136	OTHER	0.009940	0.005729	0.002046	0.982285	
megahit_246353_1274-2419	OTHER	0.006733	0.003002	0.000690	0.989576	
megahit_246353_2436-3122	OTHER	0.006008	0.001271	0.000372	0.992348	
megahit_246354_92-1555	OTHER	0.010905	0.001280	0.004922	0.982893	
megahit_246354_1693-2838	OTHER	0.006733	0.003002	0.000690	0.989576	
megahit_246354_2855-3541	OTHER	0.006008	0.001271	0.000372	0.992348	
megahit_246355_92-1555	OTHER	0.010905	0.001280	0.004922	0.982893	
megahit_246355_1693-2838	OTHER	0.006733	0.003002	0.000690	0.989576	
megahit_246430_1-1368	OTHER	0.004283	0.000529	0.000530	0.994658	
megahit_246439_79-396	OTHER	0.019930	0.003089	0.010409	0.966572	
megahit_246446_94-1239	OTHER	0.050820	0.010127	0.001651	0.937403	
megahit_246448_2-1303	OTHER	0.021401	0.143564	0.001652	0.833383	
megahit_246448_1344-2045	SP(Sec/SPI)	0.953624	0.003447	0.020976	0.021953	CS pos: 25-26. LFA-QG. Pr: 0.6209
megahit_246483_328-2079	LIPO(Sec/SPII)	0.000984	0.000052	0.998595	0.000370	CS pos: 17-18. IFS-CK. Pr: 0.9988
megahit_246483_2082-3185	LIPO(Sec/SPII)	0.002308	0.000103	0.996830	0.000760	CS pos: 15-16. IMS-CK. Pr: 0.9981
megahit_246483_3221-3685	OTHER	0.117934	0.006873	0.003323	0.871870	
megahit_246490_1-1188	OTHER	0.010889	0.005626	0.006882	0.976603	
megahit_246546_3-1058	OTHER	0.064182	0.032355	0.005290	0.898174	
megahit_246574_1-342	OTHER	0.024873	0.004784	0.002614	0.967729	
megahit_246575_1-747	OTHER	0.056610	0.003164	0.005403	0.934823	
megahit_246576_1-1005	OTHER	0.011666	0.003725	0.001952	0.982657	
megahit_246636_2-841	OTHER	0.001490	0.000541	0.017131	0.980839	
megahit_246645_1-126	OTHER	0.032473	0.047587	0.005607	0.914334	
megahit_246645_133-1137	SP(Sec/SPI)	0.995350	0.001868	0.002348	0.000435	CS pos: 22-23. AAA-AE. Pr: 0.7235
megahit_246695_81-1079	LIPO(Sec/SPII)	0.080717	0.002954	0.665648	0.250681	CS pos: 19-20. TLR-CC. Pr: 0.3290
megahit_246716_8615-9679	OTHER	0.005670	0.005649	0.000313	0.988369	
megahit_246718_8615-9685	OTHER	0.005670	0.005649	0.000313	0.988369	
megahit_246743_2-442	OTHER	0.010634	0.000995	0.001237	0.987135	
megahit_246743_485-679	OTHER	0.011730	0.001186	0.002228	0.984856	
megahit_246798_1079-2755	OTHER	0.000547	0.000118	0.000678	0.998658	
megahit_246802_2-811	OTHER	0.004900	0.002726	0.000745	0.991630	
megahit_246806_3-227	OTHER	0.003475	0.000307	0.003739	0.992478	
megahit_246807_1-243	OTHER	0.021182	0.000539	0.028778	0.949501	
megahit_246822_326-1144	OTHER	0.156626	0.006758	0.001800	0.834816	
megahit_246823_247-1566	LIPO(Sec/SPII)	0.214464	0.008055	0.774244	0.003237	CS pos: 21-22. LGS-CV. Pr: 0.7741
megahit_246845_2-847	OTHER	0.021131	0.001739	0.002735	0.974395	
megahit_246865_17-367	OTHER	0.012590	0.001186	0.008270	0.977954	
megahit_246865_371-685	OTHER	0.007880	0.000689	0.002135	0.989296	
megahit_246866_17-370	OTHER	0.012590	0.001186	0.008270	0.977954	
megahit_246866_657-971	OTHER	0.007880	0.000689	0.002135	0.989296	
megahit_246867_2-1186	OTHER	0.006598	0.001379	0.004507	0.987516	
megahit_246878_188-1024	OTHER	0.003332	0.000407	0.000252	0.996010	
megahit_246879_180-629	OTHER	0.031557	0.005953	0.003448	0.959042	
megahit_246879_2102-2578	OTHER	0.062061	0.129027	0.004245	0.804667	
megahit_246880_180-629	OTHER	0.031557	0.005953	0.003448	0.959042	
megahit_246880_2102-2578	OTHER	0.062061	0.129027	0.004245	0.804667	
megahit_246885_1-849	OTHER	0.013285	0.004572	0.004990	0.977154	
megahit_246915_201-1334	OTHER	0.028847	0.070211	0.024493	0.876449	
megahit_246916_95-1729	OTHER	0.019358	0.060051	0.004617	0.915974	
megahit_246916_1722-3164	OTHER	0.051616	0.019675	0.010567	0.918143	
megahit_246916_3241-5052	OTHER	0.016429	0.001525	0.040058	0.941989	
megahit_246916_5104-6237	OTHER	0.028847	0.070211	0.024493	0.876449	
megahit_246917_2-334	OTHER	0.082200	0.048406	0.006946	0.862449	
megahit_246917_360-2138	OTHER	0.019358	0.060051	0.004617	0.915974	
megahit_246917_2131-3573	OTHER	0.051616	0.019675	0.010567	0.918143	
megahit_246917_3650-5461	OTHER	0.016429	0.001525	0.040058	0.941989	
megahit_246917_5513-6646	OTHER	0.028847	0.070211	0.024493	0.876449	
megahit_246918_32-958	OTHER	0.028847	0.070211	0.024493	0.876449	
megahit_246922_44-1294	OTHER	0.010288	0.000611	0.000930	0.988171	
megahit_246923_1-924	OTHER	0.296050	0.038701	0.007952	0.657297	
megahit_246923_960-2453	OTHER	0.010288	0.000611	0.000930	0.988171	
megahit_246929_1-924	OTHER	0.004103	0.000851	0.000520	0.994526	
megahit_246930_1-894	OTHER	0.004103	0.000851	0.000520	0.994526	
megahit_246936_43-1497	OTHER	0.001784	0.000527	0.000241	0.997449	
megahit_246940_2-697	OTHER	0.005862	0.004976	0.000598	0.988564	
megahit_247061_3-302	OTHER	0.006414	0.005752	0.001003	0.986831	
megahit_247073_1-432	SP(Sec/SPI)	0.996971	0.000234	0.001414	0.001380	CS pos: 21-22. VFA-DE. Pr: 0.9967
megahit_247474_59-484	OTHER	0.023791	0.005161	0.000725	0.970323	
megahit_247498_3-584	OTHER	0.007467	0.000780	0.001705	0.990048	
megahit_247566_271-1236	OTHER	0.033640	0.106807	0.003502	0.856051	
megahit_247670_249-1124	OTHER	0.301348	0.009484	0.013668	0.675500	
megahit_247688_2-193	OTHER	0.026630	0.028121	0.002119	0.943129	
megahit_247691_314-1012	OTHER	0.041812	0.002493	0.003336	0.952359	
megahit_247702_1-453	OTHER	0.007627	0.025749	0.005678	0.960946	
megahit_247703_1-453	OTHER	0.009796	0.026092	0.007472	0.956639	
megahit_247704_1-453	OTHER	0.007627	0.025749	0.005678	0.960946	
megahit_247730_1309-3321	OTHER	0.006038	0.035160	0.000731	0.958070	
megahit_247731_1512-3524	OTHER	0.006038	0.035160	0.000731	0.958070	
megahit_247734_1309-3321	OTHER	0.006038	0.035160	0.000731	0.958070	
megahit_247759_1-381	OTHER	0.003349	0.003584	0.000720	0.992347	
megahit_247762_2-421	OTHER	0.004718	0.003247	0.000511	0.991524	
megahit_247765_250-783	OTHER	0.007065	0.006100	0.000814	0.986021	
megahit_247765_798-905	OTHER	0.151729	0.009729	0.026580	0.811962	
megahit_247766_250-783	OTHER	0.009564	0.008370	0.000915	0.981152	
megahit_247766_798-905	OTHER	0.151729	0.009729	0.026580	0.811962	
megahit_247804_1-1881	OTHER	0.175933	0.005917	0.014946	0.803204	
megahit_247809_2-1591	OTHER	0.147823	0.050838	0.014321	0.787018	
megahit_247813_141-2027	OTHER	0.051568	0.000464	0.074901	0.873067	
megahit_247821_1-702	OTHER	0.032195	0.005159	0.014388	0.948258	
megahit_247821_699-1625	OTHER	0.013693	0.007032	0.004402	0.974873	
megahit_247822_1-663	OTHER	0.013693	0.007032	0.004402	0.974873	
megahit_247893_351-1223	OTHER	0.049861	0.012415	0.023718	0.914006	
megahit_247917_1-231	OTHER	0.016832	0.011331	0.001872	0.969966	
megahit_247918_3-284	OTHER	0.002456	0.000995	0.000253	0.996296	
megahit_247927_1005-1244	OTHER	0.033875	0.005040	0.015761	0.945324	
megahit_247927_1300-1401	OTHER	0.019210	0.007713	0.008221	0.964856	
megahit_247929_162-1631	OTHER	0.006641	0.000548	0.001160	0.991652	
megahit_247929_1850-2089	OTHER	0.033875	0.005040	0.015761	0.945324	
megahit_247929_2145-2246	OTHER	0.019210	0.007713	0.008221	0.964856	
megahit_247939_3-218	OTHER	0.072973	0.001361	0.011281	0.914385	
megahit_247941_32-364	OTHER	0.002343	0.000891	0.000323	0.996443	
megahit_247941_611-1279	SP(Sec/SPI)	0.988136	0.006004	0.004148	0.001712	CS pos: 23-24. AQA-AG. Pr: 0.6140
megahit_247942_32-364	OTHER	0.002141	0.000861	0.000299	0.996698	
megahit_247966_1021-1710	OTHER	0.003474	0.000624	0.002308	0.993594	
megahit_247988_71-325	OTHER	0.030726	0.017788	0.002405	0.949081	
megahit_248031_133-1503	OTHER	0.018349	0.013124	0.002690	0.965837	
megahit_248051_22-342	OTHER	0.004562	0.021878	0.002725	0.970834	
megahit_248052_37-612	OTHER	0.002154	0.003375	0.000192	0.994279	
megahit_248053_3-347	OTHER	0.008721	0.011418	0.005905	0.973956	
megahit_248053_665-1330	LIPO(Sec/SPII)	0.001337	0.000050	0.998488	0.000125	CS pos: 17-18. LAA-CS. Pr: 0.9992
