# SignalP-5.0	Organism: Gram-negative	Timestamp: 20230503161348
 ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
megahit_1816_2594-3574	TAT(Tat/SPI)	0.004915	0.991823	0.000871	0.002390	CS pos: 24-25. GFA-SE. Pr: 0.3180
megahit_1819_13869-14615	OTHER	0.021387	0.002091	0.000530	0.975992	
megahit_1819_14608-16326	OTHER	0.004656	0.002681	0.000899	0.991764	
megahit_1821_13840-14586	OTHER	0.021387	0.002091	0.000530	0.975992	
megahit_1821_14579-16297	OTHER	0.004656	0.002681	0.000899	0.991764	
megahit_1824_13869-14615	OTHER	0.021387	0.002091	0.000530	0.975992	
megahit_1825_13840-14586	OTHER	0.021387	0.002091	0.000530	0.975992	
megahit_2918_139-594	OTHER	0.003852	0.002808	0.001421	0.991919	
megahit_7407_7950-8915	OTHER	0.035458	0.035916	0.025965	0.902661	
megahit_7410_7950-8915	OTHER	0.035458	0.035916	0.025965	0.902661	
megahit_7703_28598-29029	OTHER	0.137244	0.023050	0.002689	0.837017	
megahit_8079_1-1335	OTHER	0.008192	0.001142	0.003174	0.987492	
megahit_10686_2523-2864	LIPO(Sec/SPII)	0.031935	0.003320	0.552373	0.412372	CS pos: 26-27. VCG-CK. Pr: 0.5409
megahit_11028_53-535	OTHER	0.013542	0.017900	0.001421	0.967137	
megahit_11036_1525-2160	OTHER	0.070012	0.038248	0.013311	0.878428	
megahit_11040_636-3140	OTHER	0.023418	0.011994	0.009598	0.954990	
megahit_12653_777-1457	OTHER	0.002896	0.003052	0.000279	0.993773	
megahit_13298_2-346	OTHER	0.003924	0.001736	0.000725	0.993615	
megahit_15144_175-2355	SP(Sec/SPI)	0.662514	0.010773	0.289464	0.037249	CS pos: 34-35. VHA-ED. Pr: 0.6619
megahit_15198_57-371	OTHER	0.006761	0.003816	0.001058	0.988365	
megahit_15410_426-1010	OTHER	0.004471	0.003151	0.000737	0.991641	
megahit_16516_5314-5901	OTHER	0.021450	0.003553	0.004514	0.970483	
megahit_18200_809-1168	OTHER	0.004759	0.007447	0.002013	0.985781	
megahit_19807_28-858	OTHER	0.012473	0.004114	0.003346	0.980067	
megahit_19819_1-738	OTHER	0.007754	0.000442	0.001458	0.990346	
megahit_19819_852-1091	OTHER	0.000812	0.000249	0.000642	0.998296	
megahit_20038_788-1084	OTHER	0.071024	0.006327	0.007133	0.915516	
megahit_20095_1-420	OTHER	0.058243	0.000582	0.008850	0.932324	
megahit_21922_1344-1490	OTHER	0.007732	0.008314	0.002509	0.981445	
megahit_21924_1887-2303	OTHER	0.007746	0.004494	0.001280	0.986479	
megahit_22382_333-4838	OTHER	0.024877	0.007555	0.005419	0.962148	
megahit_23764_331-1851	OTHER	0.006906	0.025446	0.000805	0.966842	
megahit_25823_849-1685	OTHER	0.006592	0.001546	0.001703	0.990159	
megahit_26217_8790-10469	OTHER	0.025434	0.001511	0.001313	0.971743	
megahit_26417_3-3206	OTHER	0.005167	0.000874	0.000403	0.993556	
megahit_26577_15543-16277	SP(Sec/SPI)	0.928115	0.013980	0.009054	0.048851	CS pos: 40-41. SMA-QQ. Pr: 0.8371
megahit_29778_495-1976	OTHER	0.005581	0.000291	0.000687	0.993441	
megahit_30865_2682-3317	SP(Sec/SPI)	0.991365	0.002373	0.001905	0.004356	CS pos: 29-30. ANA-AI. Pr: 0.9800
megahit_30865_3354-3698	SP(Sec/SPI)	0.989182	0.000977	0.008231	0.001610	CS pos: 23-24. ASA-DS. Pr: 0.8425
megahit_30865_3834-6692	SP(Sec/SPI)	0.993022	0.000517	0.004198	0.002263	CS pos: 25-26. ANA-KT. Pr: 0.9365
megahit_30867_3354-3698	SP(Sec/SPI)	0.989182	0.000977	0.008231	0.001610	CS pos: 23-24. ASA-DS. Pr: 0.8425
megahit_30868_3354-3698	SP(Sec/SPI)	0.989182	0.000977	0.008231	0.001610	CS pos: 23-24. ASA-DS. Pr: 0.8425
megahit_30868_3834-6692	SP(Sec/SPI)	0.993022	0.000517	0.004198	0.002263	CS pos: 25-26. ANA-KT. Pr: 0.9365
megahit_30869_2682-3317	SP(Sec/SPI)	0.991365	0.002373	0.001905	0.004356	CS pos: 29-30. ANA-AI. Pr: 0.9800
megahit_30869_3354-3698	SP(Sec/SPI)	0.989182	0.000977	0.008231	0.001610	CS pos: 23-24. ASA-DS. Pr: 0.8425
