# NetGPI 1.1	Timestamp: 20230505155710
ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
megahit_93_72-2462	796	Not GPI-Anchored	-	0.990	*
megahit_194797_1677-2174	165	Not GPI-Anchored	-	0.989	*
megahit_194140_1270-2172	300	Not GPI-Anchored	-	0.992	*
megahit_194312_150-1370	407	Not GPI-Anchored	-	0.995	*
megahit_194551_148-1155	335	Not GPI-Anchored	-	0.993	*
megahit_194741_2-2197	732	Not GPI-Anchored	-	0.991	*
megahit_194742_3-599	199	Not GPI-Anchored	-	0.994	*
megahit_194746_1-585	195	Not GPI-Anchored	-	0.993	*
megahit_194762_196-564	122	Not GPI-Anchored	-	0.984	*
megahit_194792_740-1237	165	Not GPI-Anchored	-	0.989	*
megahit_194793_740-1237	165	Not GPI-Anchored	-	0.989	*
megahit_194799_1805-2302	165	Not GPI-Anchored	-	0.989	*
megahit_188968_3-1748	582	Not GPI-Anchored	-	0.994	*
megahit_194879_1715-2173	152	Not GPI-Anchored	-	0.995	*
megahit_194881_1715-2173	152	Not GPI-Anchored	-	0.995	*
megahit_194914_235-846	203	Not GPI-Anchored	-	0.988	*
megahit_194914_950-1690	246	Not GPI-Anchored	-	0.991	*
megahit_195157_1300-3045	581	Not GPI-Anchored	-	0.993	*
megahit_195200_831-1316	161	Not GPI-Anchored	-	0.996	*
megahit_195201_1941-2426	161	Not GPI-Anchored	-	0.996	*
megahit_196002_32-1342	436	Not GPI-Anchored	-	0.992	*
megahit_196002_1450-2760	436	Not GPI-Anchored	-	0.992	*
megahit_193638_3-551	183	Not GPI-Anchored	-	0.995	*
megahit_192708_18-485	155	Not GPI-Anchored	-	0.993	*
megahit_192707_18-485	155	Not GPI-Anchored	-	0.993	*
megahit_192690_3-767	255	Not GPI-Anchored	-	0.993	*
megahit_189901_446-1759	437	Not GPI-Anchored	-	0.993	*
megahit_189936_34-630	199	Not GPI-Anchored	-	0.994	*
megahit_189937_34-1641	536	Not GPI-Anchored	-	0.991	*
megahit_189939_25-1644	540	Not GPI-Anchored	-	0.991	*
megahit_190195_180-668	162	Not GPI-Anchored	-	0.983	*
megahit_190249_123-1340	405	Not GPI-Anchored	-	0.988	*
megahit_190254_126-872	248	Not GPI-Anchored	-	0.820	*
megahit_190298_32-622	196	Not GPI-Anchored	-	0.993	*
megahit_190314_491-1012	173	Not GPI-Anchored	-	0.993	*
megahit_190375_2-1831	610	Not GPI-Anchored	-	0.989	*
megahit_190376_2-1864	620	Not GPI-Anchored	-	0.981	*
megahit_190376_1969-2577	202	Not GPI-Anchored	-	0.995	*
megahit_190377_2-1750	583	Not GPI-Anchored	-	0.989	*
megahit_190669_1425-2078	218	Not GPI-Anchored	-	0.996	*
megahit_190985_2-1747	582	Not GPI-Anchored	-	0.996	*
megahit_191846_1154-1708	184	Not GPI-Anchored	-	0.996	*
